weights;province;district;community.damage;interviewer_sex;hhh_ethnolinguistic_group;hhh_marital_status;hhh_age;hhh_gender;hhh_disability;total_members;disability;breastfeeding;pregnant;chronic_ill;expenditures_food;expenditures_loan_repayments;expenditures_livestock;expenditures_agri_inputs;expenditures_health;expenditures_eduction;expenditures_shelter_materials_labour;expenditures_rent;expenditures_fuel;expenditures_clothing_hh_items;expenditures_transport;expenditures_comms;expenditures_other;expenditures_other_specify;expenditures_primary_source_expend;expenditures_primary_source_expend_other;expenditures_secondary_source_expend;expenditures_secondary_source_expend_other;expenditures_tertiary_source_expend;expenditures_tertiary_source_expend_other;assistance_assistance_amount;Assistance_Received_y_n;assistance_assistance_type;assistance_assistance_type_other;assistance_household_damage;assistance_shelter_status;assistance_damage_status;assistance_repair_status;assistance_barriers_to_rebuild;assistance_barriers_to_rebuild_other;assistance_accommodation_arrangment;assistance_wall_material;assistance_wall_material_other;assistance_roof_material;assistance_roof_material_other;assistance_rooms_hh;BBB_note;BBB_bbb_safe_site;BBB_bbb_foundation;BBB_bbb_corner_braces;BBB_bbb_plinth_bands;BBB_bbb_lintels;BBB_bbb_windows_door_safe_distance;BBB_bbb_drainage;BBB_bbb_landslide_flood_minimsed;BBB_female_living_space;BBB_livestock_livingspace;WASH_primary_drinking_water;WASH_primary_drinking_water_other;WASH_primary_latrine;WASH_primary_latrine_other;WASH_primary_latrine_status;WASH_solid_waste;WASH_solid_waste_other;priority_needs_priority_needs
0,145896565;Faryab;Pul e khumri;High community damage;Male;Arab;Married;29;Male;no;13;0;2;1;0;10000;0;1000;1500;500;1000;0;0;0;0;1000;500;0;NA;business sale goods services;NA;cash crop;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for labour;NA;owned with documentation;timber;NA;mud grass;NA;6;NA;no;yes;yes;yes;yes;yes;yes;no;yes;no;handpump;NA;pit latrine open;NA;latrine used;burned;NA;employment
0,145896565;Faryab;Sar e Pul;High community damage;Male;Arab;Married;50;Male;no;12;0;0;0;0;9000;0;0;0;1000;5000;0;0;1000;2000;1000;500;0;NA;business sale goods services;NA;cash crop;NA;saving;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;cannot reach markets expense;NA;owned with documentation;timber;NA;mud grass;NA;6;NA;yes;yes;yes;no;yes;yes;yes;yes;yes;no;handpump;NA;pit latrine open;NA;latrine used;burned;NA;education
0,143638295;Samangan;Khulm;Low community damage;Male;Arab;Married;45;Male;no;7;0;1;0;1;6000;0;3000;0;2000;1000;0;0;2000;500;1500;500;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;fully damaged;different site;no longer occupied;repairs not started;NA;NA;owned with documentation;bricks;NA;mud grass;NA;3;NA;no;no;no;no;yes;no;yes;no;no;no;surface water;NA;pit latrine open;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Samangan;Bilcheragh;Low community damage;Male;Arab;Married;65;Male;yes;9;1;1;0;0;7000;0;4000;0;1500;0;0;0;2000;1000;1500;1000;0;NA;business sale goods services;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;bricks;NA;mud grass;NA;5;NA;yes;no;no;no;yes;no;yes;yes;no;no;surface water;NA;pit latrine open;NA;latrine used;thrown out street;NA;employment
2,281271713;Samangan;Taloqan;Low community damage;Male;Arab;Married;23;Male;no;12;0;1;1;0;28000;0;6000;4000;7000;9000;500;0;7000;5000;300;2000;0;NA;livestock farming;NA;cash crop;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned without documentation;stone;NA;mud grass;NA;5;NA;no;yes;no;yes;yes;yes;yes;yes;no;yes;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;security
0,143638295;Samangan;Pul e khumri;Low community damage;Male;Arab;Married;38;Male;no;9;0;1;0;2;25000;0;7500;3000;5000;8000;0;0;6000;7000;5000;2000;0;NA;livestock farming;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned without documentation;stone;NA;mud grass;NA;4;NA;no;no;yes;yes;yes;no;yes;yes;no;yes;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;health care
0,615700396;Samangan;Khulm;Low community damage;Male;Arab;Married;32;Male;no;6;0;0;1;0;10000;3500;4000;0;3000;5000;500;3000;4000;5000;2500;1000;0;NA;livestock farming;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;rented;stone;NA;mud grass;NA;3;NA;no;no;yes;yes;yes;yes;yes;yes;no;yes;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;education
0,145896565;Samangan;Khuram Sarbagh;Low community damage;Female;Arab;Married;30;Male;no;14;0;1;0;0;5000;0;3000;0;2500;3000;0;0;3000;2000;2000;1000;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;stone;NA;mud grass;NA;2;NA;no;no;yes;no;yes;yes;yes;yes;no;yes;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
5,415416037;Samangan;Sholgareh;Low community damage;Male;Gujjar;Married;35;Male;no;9;0;2;0;0;8000;0;10000;7500;3000;7000;0;3000;1500;5000;5000;5000;0;NA;cash crop;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;bricks;NA;mud grass;NA;4;NA;no;yes;no;yes;yes;yes;yes;yes;no;yes;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;employment
0,615700396;Samangan;Khuram Sarbagh;Low community damage;Male;Arab;Single;36;Male;no;9;0;2;0;1;9000;0;0;0;4000;5000;0;0;4000;4000;2500;1500;0;NA;skilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned without documentation;stone;NA;mud grass;NA;3;NA;no;yes;yes;yes;yes;no;yes;yes;no;no;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Samangan;Khuram Sarbagh;Low community damage;Male;Arab;Married;39;Male;no;10;0;2;0;1;25000;0;6000;2000;5000;7000;0;0;7000;0;5000;3000;0;NA;livestock farming;NA;unskilled daily labour;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;bricks;NA;mud grass;NA;4;NA;no;yes;yes;no;yes;yes;yes;yes;no;yes;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;education
0,145896565;Samangan;Sar e Pul;Low community damage;Male;Arab;Married;40;Female;no;6;0;2;0;0;10000;0;5000;0;4000;6000;0;0;3000;5000;3500;2500;0;NA;livestock farming;NA;unskilled daily labour;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned without documentation;stone;NA;mud grass;NA;4;NA;no;yes;yes;no;yes;yes;yes;yes;no;yes;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;employment
5,415416037;Balkh;Sholgareh;High community damage;Male;Arab;Married;39;Male;yes;12;0;1;0;0;3500;0;0;1500;500;0;0;0;500;0;0;150;0;NA;cash crop;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned without documentation;bricks;NA;mud grass;NA;2;NA;no;no;yes;no;yes;no;not clear;not clear;no;no;handpump;NA;ventilated improved pit latrine;NA;latrine used;collected;NA;agri livestock support
0,615700396;Sar e Pul;Pul e khumri;Low community damage;Male;Arab;Divorced;56;Male;no;8;0;1;0;0;15000;20000;0;0;20000;3000;0;0;5000;3000;1000;500;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;fully damaged;same shelter or rebuilt;occupied fully damaged;repairs not started;NA;NA;owned with documentation;bricks;NA;mud grass;NA;3;NA;yes;yes;yes;yes;yes;yes;no;yes;yes;no;unprotected spring well;NA;pit latrine open;NA;latrine used;buried;NA;security
2,281271713;Baghlan;Sar e Pul;Low community damage;Male;Arab;Married;45;Female;yes;7;0;1;0;0;4000;2000;0;0;300;1000;0;0;4000;0;1000;0;0;NA;govt benefits;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for materials;NA;owned with documentation;bricks;NA;mud grass;NA;2;NA;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;pipe municipal;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Baghlan;Khulm;Low community damage;Male;Arab;Married;61;Male;no;13;1;0;0;1;5000;3500;0;0;400;600;0;0;1000;0;600;200;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;cannot reach markets expense;NA;owned with documentation;stone;NA;mud grass;NA;2;NA;yes;yes;yes;yes;yes;yes;yes;no;yes;no;pipe municipal;NA;pit latrine covered;NA;latrine used;buried;NA;shelter assistance
3,290842661;Balkh;Khuram Sarbagh;Low community damage;Male;Arab;Married;50;Male;no;12;1;0;0;0;13000;0;1500;0;4600;1300;0;0;6900;7500;1600;4500;0;NA;business sale goods services;NA;unskilled daily labour;NA;skilled daily labour;NA;8000;Yes;nfi cash voucher;NA;fully damaged;different site;no longer occupied;repairs not started;NA;NA;owned with documentation;bricks;NA;do not know;NA;3;NA;no;yes;yes;no;no;no;no;no;no;no;surface water;NA;no facility;NA;latrine used;thrown out street;NA;shelter assistance
2,281271713;Balkh;Khulm;Low community damage;Male;Arab;Married;45;Male;no;15;1;1;0;0;16000;500;5000;7500;9000;0;20000;0;2400;8500;1600;5600;0;NA;business sale goods services;NA;cash crop;NA;livestock farming;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs ongoing;NA;NA;owned with documentation;other;Mud wall;mud grass;NA;3;NA;no;no;yes;yes;yes;yes;yes;yes;no;no;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Baghlan;Khulm;Low community damage;Male;Arab;Married;50;Male;no;8;0;0;0;1;5000;0;0;0;600;480;0;0;1000;0;400;200;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;stone;NA;mud grass;NA;1;NA;yes;yes;yes;yes;yes;yes;yes;no;yes;no;protected spring well;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Baghlan;Khulm;Low community damage;Male;Arab;Married;58;Male;no;11;1;0;0;1;5000;0;0;0;400;600;0;0;1000;0;200;300;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;stone;NA;mud grass;NA;2;NA;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;protected spring well;NA;pit latrine covered;NA;latrine used;thrown out street;NA;food
0,145896565;Baghlan;Khuram Sarbagh;Low community damage;Male;Arab;Married;50;Male;no;13;0;2;1;0;10000;0;0;0;500;600;0;0;1500;0;600;500;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;cannot reach markets expense;NA;owned with documentation;bricks;NA;mud grass;NA;3;NA;yes;yes;yes;yes;yes;yes;yes;no;yes;no;tanker truck;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
2,281271713;Baghlan;Aybak;Low community damage;Male;Arab;Married;77;Male;no;9;1;1;0;0;5000;5000;0;0;700;600;0;0;1000;0;300;300;0;NA;business sale goods services;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;cannot reach markets expense;NA;owned with documentation;stone;NA;mud grass;NA;4;NA;yes;yes;yes;yes;yes;yes;yes;no;no;no;protected spring well;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
0,143638295;Baghlan;MaymaNA;Low community damage;Male;Arab;Married;38;Male;no;6;0;1;0;0;6000;5000;0;0;600;500;0;0;1000;2500;200;300;0;NA;formal employ;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;different site;no longer occupied;repairs not started;NA;NA;owned with documentation;bricks;NA;mud grass;NA;3;NA;no;yes;yes;yes;yes;yes;yes;no;yes;no;protected spring well;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Baghlan;Sar e Pul;Low community damage;Male;Arab;Married;55;Male;no;10;0;1;1;0;10000;0;0;0;500;1000;0;0;2500;500;500;600;0;NA;formal employ;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;stone;NA;mud grass;NA;2;NA;yes;yes;yes;yes;yes;yes;yes;no;yes;no;protected spring well;NA;pit latrine covered;NA;latrine used;collected;NA;shelter assistance
5,415416037;Baghlan;Hazrat e Sultan;Low community damage;Male;Arab;Married;38;Male;no;10;0;1;0;0;5000;0;0;0;600;500;0;0;1000;0;500;200;0;NA;skilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for materials;NA;owned with documentation;stone;NA;mud grass;NA;2;NA;yes;yes;yes;yes;yes;yes;yes;no;yes;no;protected spring well;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Baghlan;Aybak;Low community damage;Male;Arab;Married;35;Male;no;10;1;0;0;0;6000;5000;0;0;600;500;0;0;2000;0;600;500;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;cannot reach markets expense;NA;owned with documentation;bricks;NA;mud grass;NA;2;NA;yes;yes;yes;yes;yes;yes;yes;no;no;yes;protected spring well;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
3,290842661;Baghlan;Khuram Sarbagh;Low community damage;Male;Arab;Married;52;Male;no;8;0;1;0;0;5000;0;0;0;500;600;0;0;2000;0;0;200;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;stone;NA;mud grass;NA;2;NA;yes;yes;yes;yes;yes;yes;yes;no;no;no;protected spring well;NA;pit latrine covered;NA;latrine used;collected;NA;shelter assistance
0,145896565;Baghlan;MaymaNA;Low community damage;Male;Arab;Married;37;Male;no;10;0;1;0;0;12000;5000;0;0;600;500;0;0;1000;0;600;500;0;NA;govt benefits;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;cannot reach markets expense;NA;owned with documentation;bricks;NA;mud grass;NA;2;NA;yes;yes;yes;yes;yes;yes;yes;no;yes;no;protected spring well;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Balkh;Khwaja Sabz Posh;Low community damage;Male;Arab;Married;42;Male;no;13;0;1;1;0;4000;0;1000;0;3000;5000;0;0;2000;1500;800;250;0;NA;business sale goods services;NA;no further source;NA;no further source;NA;0;Yes;other;Blankets;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for materials;NA;owned with documentation;bricks;NA;mud grass;NA;3;NA;no;no;no;yes;yes;yes;yes;no;yes;no;handpump;NA;pit latrine covered;NA;latrine used;thrown out street;NA;training
0,145896565;Balkh;Khuram Sarbagh;Low community damage;Male;Arab;Married;25;Male;no;11;0;1;0;1;8000;400;800;2000;40000;1000;0;0;1000;5000;1200;350;0;NA;cash crop;NA;borrow loans;NA;no further source;NA;10000;Yes;other;Blankets;fully damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for labour;NA;owned with documentation;bricks;NA;mud grass;NA;4;NA;no;yes;yes;no;yes;yes;yes;yes;yes;no;handpump;NA;pit latrine covered;NA;latrine used;burned;NA;health care
3,290842661;Balkh;MaymaNA;Low community damage;Male;Arab;Married;46;Male;no;10;0;2;0;0;8000;100;0;500;300;0;500;0;0;400;0;100;100;Accident;skilled daily labour;NA;no further source;NA;no further source;NA;0;Yes;other;Food;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for labour;NA;owned without documentation;timber;NA;mud grass;NA;3;NA;yes;yes;yes;yes;yes;yes;yes;no;no;yes;surface water;NA;pit latrine open;NA;latrine used;thrown out street;NA;shelter assistance
0,615700396;Balkh;Pul e khumri;Low community damage;Male;Arab;Married;40;Male;no;12;NA;0;1;0;10000;6000;0;0;3000;1200;0;0;3500;2000;1000;250;0;NA;formal employ;NA;business sale goods services;NA;saving;NA;0;Yes;shelter assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for labour;NA;owned with documentation;bricks;NA;mud grass;NA;3;NA;yes;no;yes;no;yes;yes;yes;no;yes;no;handpump;NA;pit latrine covered;NA;latrine is not used;collected;NA;employment
0,615700396;Balkh;Khuram Sarbagh;Low community damage;Male;Arab;Married;54;Male;no;3;0;0;0;0;5000;2000;1500;0;2000;1000;0;0;3500;3000;1000;300;0;NA;business sale goods services;NA;saving;NA;no further source;NA;0;Yes;shelter assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for labour;NA;owned with documentation;bricks;NA;mud grass;NA;3;NA;yes;no;yes;no;yes;yes;yes;no;yes;no;handpump;NA;pit latrine covered;NA;latrine used;collected;NA;employment
3,290842661;Balkh;Khwaja Sabz Posh;Low community damage;Male;Arab;Married;50;Male;no;6;0;0;0;0;10000;0;0;0;7000;0;0;0;3000;3500;2000;300;0;NA;business sale goods services;NA;saving;NA;saving;NA;0;Yes;shelter assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for labour;NA;owned with documentation;bricks;NA;mud grass;NA;4;NA;yes;no;yes;no;yes;yes;yes;no;yes;no;handpump;NA;pit latrine covered;NA;latrine used;collected;NA;food
1,093877156;Balkh;Khwaja Sabz Posh;Low community damage;Male;Arab;Married;33;Male;yes;10;0;0;0;0;3000;0;1000;1000;1800;1000;0;0;300;600;200;50;0;NA;skilled daily labour;NA;no further source;NA;no further source;NA;5000;Yes;other;Food, Blankets, Cash Assistance;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for materials;NA;owned with documentation;bricks;NA;mud grass;NA;3;NA;no;no;no;no;yes;yes;yes;yes;yes;no;protected spring well;NA;pit latrine open;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Balkh;Dawlatabad;Low community damage;Male;Arab;Divorced;27;Male;no;11;0;0;0;0;3900;0;800;2800;300;2500;0;0;1000;1500;600;250;0;NA;cash crop;NA;skilled daily labour;NA;no further source;NA;0;Yes;other;Food, Blankets;partially damaged;different site;no longer occupied;repairs ongoing;NA;NA;owned with documentation;timber;NA;mud grass;NA;3;NA;no;yes;no;yes;yes;yes;yes;yes;yes;yes;protected spring well;NA;pit latrine open;NA;latrine used;thrown out street;NA;employment
0,145896565;Balkh;Khwaja Sabz Posh;Low community damage;Male;Arab;Married;58;Male;no;11;0;1;0;0;3500;2500;1500;0;1000;0;1200;0;1500;2000;200;200;0;NA;business sale goods services;NA;no further source;NA;no further source;NA;1000;Yes;other;Food, Blankets, Cash Assistance;fully damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for materials;NA;owned with documentation;bricks;NA;mud grass;NA;4;NA;no;yes;yes;no;yes;yes;yes;yes;yes;no;protected spring well;NA;pit latrine covered;NA;latrine used;thrown out street;NA;security
0,145896565;Balkh;Khwaja Sabz Posh;Low community damage;Male;Arab;Married;45;Male;no;8;0;0;0;1;NA;0;3000;0;3500;0;0;0;16000;3000;2000;2000;0;NA;business sale goods services;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs ongoing;NA;NA;owned with documentation;timber;NA;mud grass;NA;20;NA;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;handpump;NA;ventilated improved pit latrine;NA;latrine used;thrown out street;NA;shelter assistance
2,281271713;Balkh;Farkhar;Low community damage;Male;Arab;Married;24;Male;no;8;0;0;0;0;9000;0;0;0;4500;0;0;0;1500;600;0;400;0;NA;formal employ;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs ongoing;NA;NA;owned with documentation;bricks;NA;mud grass;NA;4;NA;yes;yes;yes;yes;yes;yes;yes;no;yes;no;protected spring well;NA;pit latrine open;NA;latrine used;thrown out street;NA;water sanitation
